cuisine,location,name,price,ratings,tags
"Beverages,Bubble Tea,Desserts", 1| 9th Main| 5th Cross| Near Lawrence School| Sector 6| HSR| Bangalore,Bubble Bee,300.0,"3.6,3.9",Dessert Parlor
"South Indian,North Indian,Chinese,Street Food", 31/1| Puttalingaiah Road| Second Stage| Bangalore| Banashankari| Bangalore,Udupi Ruchi,200.0,"3.6,3.9",Quick Bites
"North Indian,Chinese,Biryani,Kebab", Opposite Mosque| MM Road| Frazer Town| Bangalore,Zayan Kabab Korner,300.0,3.8,Quick Bites
South Indian, 302| 3rd Cross| 1 Block| HBR Layout| Bangalore,Sri Sai Durga 99 Variety Dosa,200.0,"3.7,3.9",Quick Bites
"Desserts,Continental,Salad,Burger,Pizza", 124| 1st A Main| 5th Block| KHB Colony| Koramangala 5th Block| Bangalore,Calvin's,600.0,"3.7,3.9","Dessert Parlor,Quick Bites"
"North Indian,Chinese", 55/1 8A Cross| Shirdi Sai Layout| Near Sai Baba Temple Road| Marathahalli| Bangalore,7 Days Kitchen,500.0,3.8,Quick Bites
"Maharashtrian,Beverages", 722| First Floor| 16A Main Road| Yelahanka New Town| Yelahanka| Bangalore,Purnabramha Maharashtrian Restaurant,850.0,"3.7,3.9",Casual Dining
"North Indian,Chinese,Fast Food,Street Food", 12| Near Ulsoor Lake| Ulsoor| Bangalore,Sagar Delicacy,500.0,"3.8,3.8",Casual Dining
"North Indian,Chinese", 52/7| 1st Floor| Ramakrishna Reddy Building| Abbaiah Reddy Street| Doddathoguru| Electronic City| Bangalore,Krun Tummy,300.0,"3.7,3.8",Quick Bites
South Indian, 45/2| Sunkalpet Main Road| City Market| Bangalore,SLN Lunch Home,100.0,3.8,Quick Bites
"South Indian,Chinese,North Indian,Street Food", 145/B 1| Chethan Complex| Bommsanadra Industrial Area| Electronic City| Bangalore,Srinidhi Upachar,500.0,"3.7,3.9",Quick Bites
"Andhra,Biryani,South Indian", M-22| Ground Floor| Jeevan Bhima Nagar| Bangalore,Sree Spicy Hub,600.0,"3.8,3.7",Casual Dining
"North Indian,Gujarati,Rajasthani", 102/2| Beside BBMP Office| Marathahalli| Bangalore,Gaura's Secret Recipe,250.0,3.8,
"Fast Food,Beverages", Narayanpura Cross| Kothannur| Hennur| Bangalore,JuBa Cafe,200.0,3.8,Quick Bites
Biryani, Delivery Only,Big Biriyani Company,450.0,3.8,
"Chinese,Thai", 4A - B| Ground Floor| RMZ Eco World| The Bay Campus| Varthur Hobli| Outer Ring Road| Marathahalli| Bangalore,Hunan Express,550.0,3.8,"Food Court,Quick Bites"
North Indian, 46| 11th Main Road| KEB Colony| 1st Stage| BTM Layout 1| BTM| Bengaluru,B2D Indori Dhaba,200.0,"3.9,3.7",Quick Bites
"North Indian,Chinese", 99| Marriyappa Building| Doddathaguru Cross| Bettadasanpura| Near Ajmera Infinity| Phase 1| Electronic City| Bangalore,Kathi Chowk,400.0,3.8,Quick Bites
South Indian, Thrimurthi Complex| Nagarbhavi Main Road| Near Shobha hospital| Prashanth Nagar| Nagarbhavi| Bangalore,Ayodhya Food Line,150.0,3.8,
"Ice Cream,Beverages,Juices", Shop 8| Channakeshava Complex| Sunkadakatte| Magadi Road| Bangalore,Mandara Ice Cream,250.0,3.8,Dessert Parlor
"Biryani,Fast Food", Delivery Only,Best Bowl,300.0,3.8,
"Mithai,South Indian,North Indian,Chinese", 91/1| Sirsi Road| Chamarajpet| Basavanagudi| Bangalore,Sri Ganesh Sweets,300.0,3.8,"Sweet Shop,Quick Bites"
Continental, Indra Street| RS Palya Extension| Kullappa Circle| Kammanahalli| Bangalore,CutePorkie,400.0,3.8,Quick Bites
"Cafe,Pizza,Burger,North Indian", 696| 4th Stage| BEML Layout| Rajarajeshwari Nagar| Bangalore,Bistro 1427,800.0,"3.8,3.7",Café
Fast Food, 34/A| 6th Main| Raynaaux Mansion| Puttenahalli Main Road| 7th Phase| JP Nagar| Bangalore,The Sandwich Club,250.0,"3.9,3.7",Quick Bites
"Mangalorean,Kerala,Chinese", 38/44| Ayyappa Nagar/Battarahalli Road| Lourdu Nagar Road| Swathantra Nagar| KR Puram| Bangalore,Kallayi Restaurant,400.0,3.8,Quick Bites
"North Indian,Chinese,Mughlai", 5| 1st Floor| Mallariah Complex| Gandhi Bazar Main Road| Basavanagudi| Bangalore,Pramukh Family Restaurant,700.0,3.8,Casual Dining
Kerala, 8| HAL 3rd Stage| Thippasandra| Bangalore,Thattukada - Kerala Street Food,200.0,3.8,Quick Bites
Chinese, 67| Kanasu Complex| Kubirmutt Road| Hunumathathangar| Basavanagudi| Bangalore,Chinese Kitchen,150.0,"3.6,3.9",Quick Bites
Bakery, 734| Marenahalli Road| 8th Block| Shakambari Nagar| 1st Phase| Jayanagar| Bangalore,Healthy Bakes 'n' Brew,150.0,3.8,Bakery
"Desserts,Ice Cream,Beverages", 483| 2nd Cross| 8th Main Road| Vijay Nagar| Bangalore,Flodeis,300.0,"3.6,3.9",Dessert Parlor
"South Indian,Chinese", 36| 12th Main| 27th Cross | 4th Block| Jayanagar| Bangalore,Vakulaa Veg Restaurant,200.0,"3.6,4.0",Quick Bites
"Pizza,Fast Food", 97| Wilson Garden Housing Society| 7th Phase| JP Nagar| Bangalore,Cafe Zuppa,450.0,"3.9,3.6",Quick Bites
"Continental,American,South Indian,Italian,North Indian,Chinese", 110 C Radha Regent Bengaluru| Electronic City| Bangalore,Lobby Cafe - Radha Regent,2000.0,3.8,Casual Dining
"Andhra,Chinese,North Indian,Biryani", Global Village Gate| Mylasandra| RV College Gate| Kengeri| Bangalore,Andhra Cafe,400.0,"3.9,3.6",Quick Bites
South Indian, Opposite Tech Mahindra Gate 3| Phase 2| Electronic City| Bangalore,Andhra Ruchulu,250.0,3.8,Quick Bites
"Healthy Food,Beverages", 3| 80 Feet Road| Opposite F.M Silk| Giddappa Block| RT Nagar| Bangalore,Doctor Juice,350.0,"3.7,3.8",Beverage Shop
"Bakery,Street Food", 668| Ground Floor| 7th Main| N.S Palya,Sri Devi Baker's,200.0,3.8,"Bakery,Quick Bites"
"North Indian,Chinese,Street Food,Continental,Desserts", 28| 1st Floor| J Lingaiah Road| 1st Main| Seshadripuram| Bangalore,Veg Cartel,500.0,"3.8,3.7",Quick Bites
Andhra, Shakthi Granit Building| DRDO Phase 2| Near Railway Gate| Above HDFC Bank| Kaggadasapura| Bangalore,Divyashree Andhra,200.0,"3.8,3.7",Mess
"Ice Cream,Desserts,Beverages", 38/44| 59th Cross| 20th Main Road| 3rd Block| Rajajinagar| Bangalore,Shanthala Icecreams,200.0,3.8,Dessert Parlor
Cafe, 603| Ground Floor| 4th Cross| Kullappa Lane| Opposite Trilochan Residency| Nanja Reddy Colony| Jeevan Bhima Nagar| Bangalore,Cafe Oleiva,300.0,"3.7,3.8",Café
Asian, 118/119| 8th B Main| 4th Block| Jayanagar| Bangalore,Wok Monk,800.0,3.8,"Casual Dining,Bar"
Bakery, 132| Koramangala 4th Block| Bangalore,Vanilla Pod,300.0,3.8,Bakery
"North Indian,Chinese,Mangalorean", 37E| 80 Feet Road| Basaveshwara Nagar| Bangalore,Namana Restaurant,350.0,3.8,Quick Bites
South Indian, 146| 6th C Main Road| 1st Block| Jayanagar| Bangalore,Naivedyam Veg,100.0,3.8,
North Indian, 383| 5th A Cross Road| BEML Layout 6th Stage| BEML Layout| Brookefield| Bangalore,Karma Foods,200.0,3.8,Quick Bites
"Maharashtrian,Fast Food,Street Food,Sandwich", 10A 38th Cross Road 5th Block| Jayanagar| Bangalore,Bombay Talkies,200.0,"3.9,3.7",Quick Bites
Bakery, 8| Near Post Office| 80 Feet Road| RT Nagar| Bangalore,J B Bakery,200.0,3.8,Bakery
"Desserts,Ice Cream,Fast Food", 410| 7th Main Road| 17th Cross| Malleshwaram| Bangalore,Secret Scoopss,300.0,"3.7,3.9",Dessert Parlor
"South Indian,North Indian,Chinese", Shop 827| 4th Main Road| Stage 1| Vijay Nagar| Bangalore,Sagar Restaurant & Chats,500.0,"3.6,3.9",Casual Dining
"Biryani,North Indian,Chinese", 151| Mallasandra BGS Road| Global Village Back Gate| Rajarajeshwari Nagar| Bangalore,Brundhavan Biriyani House,400.0,"3.6,3.9",Quick Bites
"North Indian,Chinese", 1-2| Brindavan Nagar| Tavarekere| Ramappa Layout| 1st Stage| Opposite M.N.P Residency| BTM| Bangalore,Salkara Malabar Kitchen,300.0,3.8,Quick Bites
"South Indian,North Indian,Chinese,Street Food,Beverages", 8| VP Khata-270| Desarahalli Village| Hobli| KR Puram| Bangalore,Tripsy Pure Veg,500.0,3.8,
"Street Food,Beverages", 6| 60 Feet Road| Prasanthanagar Main Road| Pattegarapalya| Vijay Nagar| Bangalore,Shree Chats Corner,150.0,3.8,
North Indian, 77/1| CJR Arcade| Bellandur| Bangalore,Homelicious Food,200.0,"3.9,3.6",Quick Bites
Bakery, Shop 1| 3rd Floor| SJR Commercial| Near Gear Innovative School| Sarjapur Road| Bangalore,Dessert Drama,300.0,3.8,Bakery
"North Indian,Street Food", 4| 60/1| Opposite Wipro Office| Sarjapura Main Road| Doddakenahalli| Sarjapur Road| Bangalore,Chatar Patar,250.0,"3.8,3.7",Quick Bites
"Street Food,Beverages", 6| 60 Feet Road| Prasanthanagar Main Road| Pattegarapalya| Vijay Nagar| Bangalore,Shree Chats Corner,150.0,3.8,
North Indian, 77/1| CJR Arcade| Bellandur| Bangalore,Homelicious Food,200.0,"3.9,3.6",Quick Bites
Bakery, Shop 1| 3rd Floor| SJR Commercial| Near Gear Innovative School| Sarjapur Road| Bangalore,Dessert Drama,300.0,3.8,Bakery
"North Indian,Street Food", 4| 60/1| Opposite Wipro Office| Sarjapura Main Road| Doddakenahalli| Sarjapur Road| Bangalore,Chatar Patar,250.0,"3.8,3.7",Quick Bites
"Mangalorean,Seafood,North Indian,Chinese", 24| JNC Road| Industrial Layout| Koramangala 5th Block| Bangalore,Golden Leaf,600.0,"3.8,3.7",Casual Dining
South Indian, 8th Main Road| Chord Road| 3rd Stage| Basaveshwara Nagar| Bangalore,Davanagere Butter Dosa Hotel,100.0,3.8,Quick Bites
"Juices,Beverages", New Thippasandra Main Road| HAL 3rd Stage| New Thippasandra| Bangalore,Sri Ganesh Fruit Juice Centre,100.0,"3.5,4.0",Beverage Shop
"North Indian,South Indian,Chinese,Beverages", 10| Old 104/B| 1st Main| Rajkumar Road| 4th Block| Rajajinagar| Bangalore,Sanmanaa,500.0,3.8,Quick Bites
"Juices,Fast Food", Opposite Royal Meenakshi Mall| Hulimavu| Bannerghatta Road| Bangalore,Juice Land,300.0,"3.6,3.9",Beverage Shop
South Indian, 38| 11th Main Road| 1st Phase Girinagar| Stage 1| Banashankari| Bangalore,Aithals Mithra Koota,100.0,3.8,Quick Bites
"Cafe,Fast Food", Durgamba Layout| Kattigenahalli| Sathanur| Yelahanka| Bangalore,Jobless Cafe,250.0,3.8,Café
"Fast Food,Sandwich", 616/2| 31st Cross| 10th A Main Road| 4th Block| Jayanagar| Bangalore,Sandwich Hub,300.0,"3.9,3.7",Quick Bites
Street Food, #E 117/4| 22nd cross road| 3rd sector| hsr layout| Bangalore,Shiv Shakthi,100.0,3.8,
"Chinese,North Indian,Fast Food,BBQ", 15| 24th Main Road| 1st Phase| JP Nagar| Bangalore,Stories - The Kitchen,500.0,3.8,
"Kerala,Biryani,South Indian", 9| 1st Floor| Konapana Agrahara| Near Infosys Gate 3| Electronic City| Bangalore,Meen Chatti,600.0,"3.8,3.8",Casual Dining
"South Indian,Chinese,Juices", 27| 2nd Main| 2nd Stage| NS Palya| BTM| Bangalore,Shree Lakshmi Upahara,250.0,3.8,Quick Bites
Fast Food, 33| 7th Main Rd| Shivanagar| Basaveshwar Nagar| Rajajinagar| Bangalore,Vindys Cafe,300.0,3.8,Quick Bites
"BBQ,Fast Food", 17| 100 Ft Road| 10th Main| Dodda Banaswadi| Sarvagna Nagar| Banaswadi| Bangalore,Fat Daddy's Grill House,450.0,3.8,Quick Bites
Street Food, 95| Opposite Vydehi Hospital| EPIP Area| Whitefield| Bangalore,GUPPA CHOWK,100.0,3.8,Quick Bites
North Indian, 25| 10th Cross Road| Krishnappa Block| Ganga Nagar| RT Nagar| Bangalore,Prerna Homemade Punjabi Food,250.0,3.8,Quick Bites
"North Indian,Chinese", 9/7| New Ring Road| 2nd Main| Domlur Layout| Indiranagar| Bangalore,Hotel Lazzat,300.0,"3.6,3.9",Quick Bites
"Cafe,Sandwich,Burger", 135/5| Ground floor| 15th Cross| 100 Feet Road| Dollar Layout| 3rd Phase| JP Nagar| Bangalore,Slate Cafe,600.0,"4.0,3.5",Café
"North Indian,Chinese", 306| NH 7 Service Road| Devanahalli| International Airport| Bangalore,Gagan Twisted Indian Cuisine,500.0,3.8,Casual Dining
"North Indian,Beverages", Shop S01| Plot 89| 2nd Cross| Vidya Vikas School Road| Kaverappa Layout| Panathur| Maratahalli| Bangalore,Amchoor,250.0,"3.9,3.6",Quick Bites
"Street Food,Rolls", 30| Magrath Road| Brigade Road| Bangalore,Nawab's Kolkatta Roll,150.0,3.8,Kiosk
"Fast Food,Kebab", 341/2BC| 2nd B Cross| 4th Main Road| OMBR Layout| Banaswadi| Bangalore,Sinclair's barbeque,500.0,3.8,Quick Bites
Beverages, 269| A Block| AECS Layout Main Road| Marathahalli| Bangalore,Pick Natura,150.0,3.8,Beverage Shop
"Beverages,Fast Food,Ice Cream", 62| Nehru Road| Kammanahalli| Bangalore,The Lassi Junction,250.0,3.8,"Beverage Shop,Quick Bites"
"Arabian,North Indian,Chinese", 53| 9th Cross Road| B Block| 1st Phase| Shakambari Nagar| JP Nagar| Bangalore,Iyan Arabia,700.0,3.8,Casual Dining
"South Indian,North Indian,Chinese", 1| 5th Main| B Chansandra| OMBR Layout| Banaswadi| Bangalore,Raghavendra Bhavan,250.0,3.8,Quick Bites
"Street Food,Rolls", 30| Magrath Road| Brigade Road| Bangalore,Nawab's Kolkatta Roll,150.0,3.8,Kiosk
"Fast Food,Kebab", 341/2BC| 2nd B Cross| 4th Main Road| OMBR Layout| Banaswadi| Bangalore,Sinclair's barbeque,500.0,3.8,Quick Bites
Beverages, 269| A Block| AECS Layout Main Road| Marathahalli| Bangalore,Pick Natura,150.0,3.8,Beverage Shop
"Beverages,Fast Food,Ice Cream", 62| Nehru Road| Kammanahalli| Bangalore,The Lassi Junction,250.0,3.8,"Beverage Shop,Quick Bites"
"Arabian,North Indian,Chinese", 53| 9th Cross Road| B Block| 1st Phase| Shakambari Nagar| JP Nagar| Bangalore,Iyan Arabia,700.0,3.8,Casual Dining
"South Indian,North Indian,Chinese", 1| 5th Main| B Chansandra| OMBR Layout| Banaswadi| Bangalore,Raghavendra Bhavan,250.0,3.8,Quick Bites
BBQ, 607| 2nd Block| CMR Road| HRBR Layout| Kalyan Nagar| Bangalore,Charcoal Chicken Barbecue,350.0,3.8,Food Truck
"Street Food,Fast Food", 788| 1st Main Rd| Sarvobhogam Nagar| Arekere| Bannerghatta Road| Bangalore,Sai Samosa and Chat Centre,200.0,3.8,Quick Bites
Kerala, 94| Srinivas Building| Opposite NCC Nagarjuna Apartment| Near Oracle Tech Park Back Gate| Kadubeesanahalli| Kariyammana Agrahara Road| Bellandur| Bangalore,Nilavara Restaurant,300.0,3.8,Quick Bites
"North Indian,Fast Food,South Indian,Street Food", 10th Main Road| 3rd Block| Besides Canara Bank| Rajajinagar| Bangalore,Sri Ganesha Upahar,600.0,"3.7,3.9",Casual Dining
"Finger Food,Lebanese,Continental,Beverages", DoubleTree Suites by Hilton| Iblur Gate| Outer Ring Road| Sarjapur Road| Bangalore,Equinox Bar - DoubleTree Suites By Hilton,2300.0,3.8,Lounge
"Chinese,North Indian,Rolls", Acharya College Road| Hesaraghatta Road| Jalahalli| Bangalore,Bombay Dine,300.0,3.8,Quick Bites
"North Indian,Chinese", Narayan Gowda Layout| 1st Stage| BTM| Bangalore,Al Habibi Restaurant,300.0,"3.7,3.9",Quick Bites
"Fast Food,Burger,Rolls", 20/5| Outer Ring Road| Kadubeesanahalli| Marathahalli| Bangalore,Mighty Bites,250.0,3.8,Quick Bites
"North Indian,South Indian,Biryani,Chinese,Beverages", 202| Ground Floor| FJ Complex| Saint James Church Road| Mariyanapalya| Ha Farm Post| Dasarahalli| Hebbal| Bangalore,Gokul Upachar,500.0,3.8,Quick Bites
"Beverages,Fast Food", BMTC Shopping Complex| Opposite NDR Hospital| Uppanagar| Yelahanka| Bangalore,Royal Cool Joint,200.0,"3.9,3.7",Beverage Shop
"Chinese,North Indian,Street Food", 3| Krishnappa Complex| Yemlur Road| Marathahalli| Bangalore,Ram Bhog,400.0,"3.7,3.9",Quick Bites
"North Indian,South Indian,Chinese", Shop 02 - 03| Serial 3/C| Iblur Village| Begur Hobli| HSR| Bangalore,Uncle's Cuisine,250.0,3.8,Quick Bites
"North Indian,South Indian,Biryani,Continental", 218/738| Green Glen Layout| Varthur Hobli,Spice Garden by Dum Mast Biryani,550.0,"3.6,3.9",Casual Dining
"North Indian,Asian,Continental", Springs Hotel & Spa| 19| H. Siddaiah Road| Basavanagudi| Bangalore,MG's Fine Dining & Bar - Springs Hotel & Spa,800.0,3.8,Casual Dining
"North Indian,Chinese,South Indian", 1070| Near Niligiris| Kumaraswamy Layout| Bangalore,Dining Hut,400.0,"3.6,3.9",Quick Bites
South Indian, 101| H Siddaiah Road| Sudhama Nagar| Near Shanti Nagar| Bangalore,Nandishwara Lunch Home,100.0,3.8,Quick Bites
"Fast Food,Tea", Ground Floor| VR Bengaluru Mall| Mahadevapura| Whitefield| Bangalore,MBA Chaiwale,200.0,3.8,Kiosk
"Chinese,Momos", 1814| 1st Cross| 25th Main| 9th Block| Jayanagar| Bangalore,The Little Kitchen,300.0,"3.7,3.9",Quick Bites
"North Indian,Chinese", Shop 2| Om Residence Layout| Kodigahalli Main Road| Hoodi| Whitefield| Bangalore,Mad Kitchen,300.0,3.8,Quick Bites
"Cafe,Fast Food", 70-1/4| Ground Floor| 4th Cross| 17th B Main| Koramangala 5th Block| Bangalore,Chakoli,250.0,3.8,Café
"Cafe,Desserts", Sumeru Realty| Kanakapura Road| Bangalore,Cafe Vishala,400.0,3.8,Café
South Indian, 1st Cross| 1st Main| ISRO Layout| Near Premier Multi Specialty Hospital| Kumaraswamy Layout| Bangalore,Greens Veg,200.0,3.8,Quick Bites
South Indian, 2| Gundopanth Street| Old Tharagupet| Mamulpet| Chickpet| City Market| Bangalore,Sri Raghavendra Prasanna Coffee Club,100.0,3.8,Quick Bites
"Chinese,North Indian", 131| 2nd Main Road| Kasturi Nagar| Opposite Channasandra Bus Stop| Banaswadi| Bangalore,Kartik,700.0,3.8,"Casual Dining,Bar"
"South Indian,North Indian,Chinese", 35| Krishnappa Building| Bagalagunte| Hesaraghatta Main Road| Jalahalli| Bangalore,Apurva Veg,250.0,3.8,Quick Bites
"Desserts,Ice Cream,Fast Food", 145| 6th C Main Road| 4th Block| Jayanagar| Bangalore,Ice Zone Cafe,400.0,3.8,"Dessert Parlor,Quick Bites"
"Juices,Street Food", 11th Cross| Vyalikaval| Opposite Vyalikaval Police Station| Malleshwaram| Bangalore,Atithis Juice and Chats,250.0,3.8,Quick Bites
Biryani, 32| 5th A Cross| CV Raman Nagar Post| Kaggadasapura| Bangalore,Zaika Biriyani Paradise,250.0,"3.7,3.9",Quick Bites
South Indian, 12| Vijay Nagar| Bangalore,Udupi Ruchi,100.0,3.8,Quick Bites
North Indian, 3| Outer Ring Road| Opposite More Megastore| Mahadevapura| Whitefield| Bangalore,Foodishq,450.0,"3.7,3.9",Quick Bites
"Continental,Fast Food,American", Oppsite Reva University| Yelahanka| Bangalore,Outdoor Food Truck,300.0,3.8,Food Truck
South Indian, 402| 3rd Cross| 23rd Main| 2nd Stage| BTM| Bangalore,Basawa Hotel,250.0,3.8,Quick Bites
"South Indian,North Indian,Chinese", Hotel Kanishka| 2| 2nd Main Road| Gandhi Nagar| Majestic| Bangalore,New Mathura Grand,300.0,"3.8,3.7",Quick Bites
"Mangalorean,Biryani,South Indian", Gublala Gate| Kanakapura Road| Bangalore,Sindhoora Gardenia,800.0,"4.1,3.5",Casual Dining
"Chinese,Momos", 36| 2nd Main Road| 3rd Cross| Pipeline Road| New BEL Road| Bangalore,Koithio Kitchen,250.0,3.8,Quick Bites
"Cafe,Turkish", 97/1| Chikkajojappa Layout| 5th Main Road| Kammanahalli| Bangalore,Sumac Resto Cafe,450.0,"3.6,3.9",Café
"North Indian,Chinese,Andhra,Pizza,Continental", 67| Yelachenahalli| Near Metro Station| Kanakapura Road| Bangalore,Toast On Terrace,1300.0,3.8,"Bar,Casual Dining"
"South Indian,North Indian,Chinese", 4| 7th B Cross| Ns Palya Industrial Area| 2nd Stage| BTM| Bangalore,Royal Chef Naati Oota,600.0,"4.0,3.5",Casual Dining
"Chinese,Thai,Seafood,Momos", Shop 2| Sapthagiri Complex| Maruti Nagar extension| Next To TVS Showroom| Kaggadasapura| Bangalore,Hongkong Garden,500.0,"3.8,3.7",Casual Dining
"Biryani,North Indian,Chinese", 310/73/85| RK Tower| Chanakya Layout| Nagawara| Bangalore,Ancient Hyderabad,900.0,"3.9,3.7",Casual Dining
"Continental,Italian,Fast Food,Beverages", 272| 4th Floor| Outer Ring Road| 3rd Phase| Near MAAC| Banashankari| Bangalore,Roy's Cafe,500.0,3.8,Quick Bites
"North Indian,Mughlai,Chinese", 166| CHS 707| 4th Phase| Main Road| Akashwani Main Road| Yelahanka Newtown| Yelahanka| Bangalore,Kitchen 6,700.0,"3.9,3.7",Casual Dining
"Seafood,North Indian,Steak", 1st Cross| 7th Main| 100 Feet Road| Indiranagar| Bangalore,Blu Oyster Bar & Restaurant,1200.0,"4.2,3.4",Bar
South Indian, 200| 6th Cross| Thippasandra| Bangalore,Namma Madurai,100.0,"3.8,3.8",Quick Bites
"South Indian,Chinese", 56| 17th Cross| Margosa Road| Malleshwaram| Bangalore,Ganesh Darshini,150.0,"3.3,4.2",Quick Bites
"Cafe,Healthy Food,Continental", 34/1| 1st Cross| 6th Main| 4th Block| Jayanagar| Bangalore,SlimSins Cafe,1000.0,"4.0,3.6",Café
South Indian, 19| Cambridge Road| Ulsoor| Bangalore,Ishta Upahar,100.0,3.8,Quick Bites
"Finger Food,Continental,North Indian,Pizza", 1085| 14th Main| 18th Cross| Sector 3| HSR| Bangalore,Shift,1800.0,"4.2,3.4","Lounge,Casual Dining"
Cafe, 61| Seetharampalya-Hoodi Road| Whitefield| Bangalore,Oregano Soul Food,700.0,"4.0,3.6",Café
"North Indian,South Indian,Biryani", 169/A| Hallagevadera Halli| Opposite Lake| Rajarajeshwari Nagar| Bangalore,RR Biryani Park,200.0,"3.6,4.0",Quick Bites
"South Indian,Biryani", 292| 15th A Cross Road| Sector A| Chikka Bommasandra Circle| Yelahanka| Bangalore,Prashanth Naati Corner,300.0,"3.8,3.7",Quick Bites
Biryani, 250/3| Ground Floor| Hosur Main Road| Hebbagodi| Bommasandra| Bengaluru,New Ambur Hot Dum Biryani,300.0,"3.6,3.9",Quick Bites
"North Indian,Seafood,BBQ,Chinese,Beverages,Ice Cream", 1567| Ground Floor| NGR Complex| 27Th Main| Sector 1| HSR| Bangalore,Coal Spark,1000.0,"3.6,3.9",Casual Dining
"Iranian,Mughlai,Chinese", 653|/2| Annaiah Reddy Layout| 100 Feet Road| Banaswadi| Bangalore,Sufi Restaurant & Cafe,800.0,"3.7,3.9",Casual Dining
"Mithai,Fast Food", 1/72| 27th Cross| Opposite To Janatha Bazar| 4th Block| Jayanagar| Bangalore,Big Mishra Pedha,250.0,3.8,Sweet Shop
"Beverages,Ice Cream,Fast Food", Shop 1| 232 & 233| 2nd Cross| Neeladri Main Road| Neeladri Nagar| Electronic City| Bangalore,Lassi Parlour,150.0,3.8,Beverage Shop
"North Indian,Street Food", 38/1-24| Ground Floor| Opposite Ibblur Park| Ibblur Village| Bellandur| Bangalore,The Modak,400.0,"3.7,3.9",Quick Bites
"Street Food,Fast Food,Beverages", 102| 3rd Cross| 2nd Stage| Ashraya Layout| Garudachar Palya| Mahadevapura| Whitefield| Bangalore,I Love My Breakfast,200.0,"3.7,3.9",Quick Bites
Street Food, 5/4| Kalkere Main Road| Rammurthy Nagar| Bangalore,BANGARPET CHATS,200.0,"3.7,3.9",Quick Bites
"North Indian,Chinese", 33A| Parvathinagara| Laggere Main Road| Peenya| Bangalore,Kabab 4u,550.0,"3.6,3.9",Quick Bites
"Desserts,Ice Cream", 135| 14th Main| 17th Cross| Malleshwaram| Bangalore,Frozen Coast,250.0,3.8,Dessert Parlor
"South Indian,North Indian,Chinese", 20| Manjunatha Complex|  Abbigere Main Road| Jalahalli| Bangalore,Udupi Uphara,200.0,"3.9,3.6",Quick Bites
"Tea,Beverages", 100| 16th Main| 12th Cross| Tavarekere Main Road| Layout 1| BTM| Bangalore,The Tea Planet,300.0,3.8,Beverage Shop
"Kerala,Chinese", Dwaraka Nagar| Baglur Main Road| Kattighinahalli| Yelahanka| Bangalore,Malabar Restaurant,200.0,"3.7,3.9",Quick Bites
Kerala, Hongasandra Road| Bommanahalli| Bangalore,The Village Hotel,500.0,3.8,
Street Food, 2| Ground Floor| Hebbal Kempapura Main Road| HA Farm Post| Hebbal| Bangalore,Mumbai Local,150.0,"3.9,3.6",Quick Bites
"North Indian,Biryani", Delivery Only,Aakriti,250.0,3.8,
"Momos,Chinese,Sandwich,Burger,Fast Food,Beverages", 86| 4Th Cross| Opposite Reva University| Kattigenahalli| Yelahanka| Bangalore,Kappa Cafe,300.0,"3.9,3.6",Quick Bites
"Fast Food,North Indian", 268| 2nd Main Road| 18th Cross Road| Sampige Road| Opposite Airtel Office| Malleshwaram| Bangalore,Egg Maniac,300.0,"4.0,3.6",Quick Bites
"Thai,Chinese", 2&3| Renu Arcade| 1st Stage| 2nd Block| 80 Feet Road| HBR Layout| Bangalore,Yuan Restaurant,400.0,"3.9,3.7",Quick Bites
"Bengali,North Indian,Chinese", 1st Main| Janatha Colony| Near Govt School| Jakkasandra| Koramangala 1st Block| Bangalore,Royal Calcutta Restaurant,450.0,"3.7,3.9",Quick Bites
"Chinese,Thai", 13 & 14| T C Palya Main Road| Near Bharath Petrol Bunk| Rammurthy Nagar| Bangalore,Sizzling Szechuan,600.0,"3.8,3.7",Casual Dining
"Bakery,Desserts", 7-19| Alexandria Street| Richmond Town| Bangalore,Baker's Talent,300.0,3.8,Bakery
North Indian, 13| 33/3| Aayee Matha Temple Road| Vinayaka Nagar| Muneswara Nagar| Sector 6| HSR| Bangalore,Ghar Ka Khana,300.0,3.8,
"North Indian,South Indian,Chinese", 38/4| Pipeline Road| Opposite Shanishwara Temple| Mallasandra| Jalahalli| Bangalore,Udupi Deluxe,250.0,"3.4,4.2",Quick Bites
"Chinese,North Indian,Street Food,South Indian,Fast Food", 92| 1st Main| 10th Cross Temple Road| Sampige Road| Malleshwaram| Bangalore,Shuchi Ruchi,350.0,"4.0,3.6",Quick Bites
"Arabian,Afghan,Chinese,North Indian", 466/1| 22nd Cross| 1st Block East| Jayanagar| Bangalore,Barbequeue,400.0,3.8,
"Kebab,North Indian,Chinese", 51/108| 10th Main Road| 1st Stage| BTM| Bangalore,The Kabab Club,600.0,3.8,
North Indian, Delivery Only,Jain Foods,250.0,3.8,
"Lebanese,Fast Food", Shop 11| 2nd Cross| PNT Colony| Behind Water Tank| RMB 2nd Stage| Sanjay Nagar| Bangalore,Shawarma Grill,350.0,3.8,Quick Bites
Kerala, Main Road| Vignan Road| Kaggadasapura| Bangalore,Venad Kitchen,300.0,3.8,
"North Indian,Seafood,Mangalorean,Chinese", 40| Triveni Road| Yeshwantpur| Bangalore,New Karavali Restaurant,450.0,"3.7,3.8",Quick Bites
