cuisine,location,name,price,ratings,tags
South Indian, 32| Gandhi Bazaar| Near Gandhi Bazaar Circle| Basavanagudi| Bangalore,Vidyarthi Bhavan,150.0,4.5,Quick Bites
"Beverages,Ice Cream,Desserts,Fast Food,North Indian,Sandwich,Street Food", Shop 2| Site 40| Khatha 115/1| Hoodi Main Road| Surya Layout| Ayyappa Nagar| B.B.M.P East| KR Puram| Bangalore,Lassi Corner,300.0,4.5,"Beverage Shop,Dessert Parlor"
"Andhra,Biryani", 44/1| Residency Road| Bangalore,Nagarjuna,800.0,4.5,Casual Dining
"Japanese,Sushi,Asian,Chinese,Momos", 610| 3rd Floor| 12th Main| Off 80 Feet Road| Indiranagar| Bangalore,The Fatty Bao - Asian Gastro Bar,1200.0,"4.8,4.2","Casual Dining,Bar"
"Bar Food,Mughlai,Healthy Food,Fast Food,North Indian,Beverages", UB City| 24| Grant Road| Vittal Malya| Lavelle Road| Bangalore,Farzi Cafe,1600.0,4.5,Casual Dining
"Continental,Finger Food", 607| 15th Cross| Outer Ring Road| 1st Phase| JP Nagar| Bangalore,The Pump House,2000.0,4.5,Microbrewery
"Continental,North Indian,Chinese,Pizza,Finger Food", 8| Industrial Layout| Near HDFC Bank| Koramangala 5th Block| Bangalore,XOOX Brewmill,2000.0,4.5,Microbrewery
"North Indian,Continental", Renaissance Hotel| 17 & 17/1| Madhavanagar Extension| Race Course Lane| Race Course Road| Bangalore,"Lush - Renaissance Hotel, Bengaluru",2500.0,4.5,Casual Dining
"Andhra,North Indian", OSR Hotels| 60 Feet Road| Near BEML Bus Depot| Rajarajeshwari Nagar| Bangalore,Royal Andhra Spice,650.0,4.5,Casual Dining
Chinese, 53/1| 5th Cross| Koramangala 6th Block| Bangalore,China Pearl,1100.0,"4.5,4.5",Casual Dining
"Ice Cream,Desserts,Beverages", 44/1| Residency Road| Bangalore,Art of Delight,400.0,"4.6,4.4",Dessert Parlor
Bakery, Delivery Only,Cakewala,200.0,4.5,Bakery
"Asian,Indonesian,Momos,Japanese,Sushi", 974| 80 Feet Road| Koramangala 4th Block| Bangalore,Nasi And Mee,1000.0,"4.6,4.4",Casual Dining
"Chinese,Asian,Sushi,Japanese,Thai", 28/2| 1st Floor| Siddapura| Whitefield Main Road| Whitefield| Bangalore,Mainland China,1700.0,"4.7,4.2",Casual Dining
"European,Italian,American,Beverages,Continental", 52/ 53| Ground Floor| Lavelle Road| Bangalore,Smoke House Deli,1600.0,"4.7,4.2","Casual Dining,Bar"
Desserts, Delivery Only,NIC - Natural Ice Creams,150.0,4.5,
"Modern Indian,European,American", 618| 3rd & 4th Floor| HAL 2nd Stage| Indiranagar| Bangalore,Sly Granny - The Community House,2500.0,4.5,Casual Dining
Cafe, 2| Church Street| Bangalore,Matteo Coffea,600.0,4.5,Café
"Biryani,North Indian,Chinese,Mughlai", 7/1| Victoria Road| Richmond Town Area| Richmond Town| Bangalore,Hyderabad Biryaani House,600.0,4.5,Casual Dining
Mexican, 218| Near BDA Complex| Double Road| Indiranagar| Bangalore,Chinita Real Mexican Food,1200.0,"4.7,4.2",Casual Dining
Desserts, Siddapura Varthur Main Road| Whitefield| Bangalore,Ooty Chocolates,300.0,4.5,Dessert Parlor
"Mangalorean,Konkan,Seafood,Kerala", Gateway Hotel| 66| Residency Road| Bangalore,Karavalli - The Gateway Hotel,3500.0,4.5,Fine Dining
"North Indian,Beverages", Delivery Only,D.K.C. - Delicious Khichdi Company,300.0,4.5,
"Biryani,Chinese,North Indian", 3| B Narayanpura| 1st Main| Behind HP Campus| Whitefield Main Road| Whitefield| Bangalore,Peoples Choice Food And Beverage,400.0,4.5,
"Malaysian,Singaporean,Thai", Lemon Tree Premier| 2/1| St. Johns Road| Ulsoor| Bangalore,Republic Of Noodles - Lemon Tree Premier,1800.0,4.5,Casual Dining
North Indian, Shangri-La Hotel| 56-6B| Palace Road| Vasanth Nagar| Banglaore,Ssaffron - Shangri-La Hotel,3000.0,4.5,"Fine Dining,Bar"
Fast Food, Kaikondrahali| Sarjapur Road| Bangalore,Poha On Wheels,100.0,4.5,Quick Bites
"North Indian,South Indian,Chinese,Biryani", Beside Lakshmi Narasimha Temple| Bommanahalli| Bangalore,Dorothy's Kitchen,450.0,4.5,
"North Indian,Continental,Chinese,Pizza,Beverages,Desserts", 88| 2nd Floor| Outer Ring Road| Near More Supermarket| Marathahalli| Bangalore,The Big Barbeque,1500.0,4.5,"Casual Dining,Bar"
"Healthy Food,Mediterranean,Desserts,Italian,Pizza,Salad,Kebab", 203| 2nd Floor| UB City| 24 Vittal Mallya Road| Lavelle Road| Bangalore,Fava,1200.0,4.5,"Casual Dining,Bar"
"Juices,Beverages,Ice Cream", Delivery Only,Empire Juices And Ice Creams,150.0,4.5,
"Asian,Mediterranean,North Indian,Desserts", 120 A3| 2nd Floor| Santosh Tower| EPIP Industrial Area| Phase 1| Hoodi Village| Whitefield| Bangalore,Flechazo,1400.0,4.5,Casual Dining
"Cafe,Continental,Italian,Pizza,Desserts", 36| 80 Feet Road| Indiranagar| Bangalore,Lazy Suzy,1000.0,4.5,Café
"North Indian,Fast Food", 80| 3rd Cross Road| Thippasandra| Bangalore,Chak De Parathe,250.0,4.5,
"Finger Food,North Indian,Continental,Fast Food,Naga", 603| 15th Cross| 100 Feet Ring Road| 6th Phase| JP Nagar| Bangalore,Tipsy Bull - The Bar Exchange,1200.0,4.5,Bar
"Bakery,Desserts", Pooja Residency| B Block| 13th Cross| Sarakki Main Road| 1st Phase| JP Nagar| Bangalore,Cariocake,350.0,4.5,Bakery
North Indian, Delivery Only,Paratha Envy,300.0,4.5,
"North Indian,Mughlai,Chinese,Beverages", Opposite Kayla Spa N Saloon| Jaladarshini Layout| New BEL Road| Bangalore,Smogrill,150.0,4.5,
"Beverages,Healthy Food", 43| Koramangala 1st Block| Bangalore,Prezzed Juicery,250.0,4.5,Beverage Shop
"North Indian,Mughlai,Italian", 20/5| Panathur Junction| Outer Ring Road| Kaverappa Layout| Kadubeesanahalli| Marathahalli| Bangalore,Jalsa Gold,1300.0,4.5,Casual Dining
Italian, JW Marriott| 24/1| Vittal Mallya Road| Lavelle Road| Bangalore,Alba - JW Marriott Bengaluru,4000.0,4.5,Fine Dining
